"word","lang"
"proper","en"
"properly","en"
"property","en"
"proportion","en"
"proposal","en"
"propose","en"
"proposed","en"
"prosecutor","en"
"prospect","en"
"protect","en"
"protection","en"
"protein","en"
"protest","en"
"proud","en"
"prove","en"
"provide","en"
"provider","en"
"province","en"
"provision","en"
"psychological","en"
"psychologist","en"
"psychology","en"
"public","en"
"publication","en"
"publicly","en"
"publish","en"
"publisher","en"
"pull","en"
"punishment","en"
"purchase","en"
"pure","en"
"purpose","en"
"pursue","en"
"push","en"
"qualify","en"
"quality","en"
"quarter","en"
"quarterback","en"
"question","en"
"quick","en"
"quickly","en"
"quiet","en"
"quietly","en"
"quit","en"
"quite","en"
"quote","en"
"race","en"
"racial","en"
"radical","en"
"radio","en"
"rail","en"
"rain","en"
"raise","en"
"range","en"
"rank","en"
"rapid","en"
"rapidly","en"
"rare","en"
"rarely","en"
"rate","en"
"rather","en"
"rating","en"
"ratio","en"
"reach","en"
"react","en"
"reaction","en"
"read","en"
"reader","en"
"reading","en"
"ready","en"
"real","en"
"reality","en"
"realize","en"
"really","en"
"reason","en"
"reasonable","en"
"recall","en"
"receive","en"
"recent","en"
"recently","en"
"recipe","en"
"recognition","en"
"recognize","en"
"recommend","en"
"recommendation","en"
"record","en"
"recording","en"
"recover","en"
"recovery","en"
"recruit","en"
"reduce","en"
"reduction","en"
"refer","en"
"reference","en"
"reflect","en"
"reflection","en"
"reform","en"
"refugee","en"
"refuse","en"
"regard","en"
"regarding","en"
"regardless","en"
"regime","en"
"region","en"
"regional","en"
"register","en"
"regular","en"
"regularly","en"
"regulate","en"
"regulation","en"
"reinforce","en"
"reject","en"
"relate","en"
"relation","en"
"relationship","en"
"relative","en"
"relatively","en"
"relax","en"
"release","en"
"relevant","en"
"relief","en"
"religion","en"
"religious","en"
"rely","en"
"remain","en"
"remaining","en"
"remarkable","en"
"remember","en"
"remind","en"
"remote","en"
"remove","en"
"repeat","en"
"repeatedly","en"
"replace","en"
"reply","en"
"report","en"
"reporter","en"
"represent","en"
"representation","en"
"representative","en"
"Republican","en"
"reputation","en"
"request","en"
"require","en"
"requirement","en"
"research","en"
"researcher","en"
"resemble","en"
"reservation","en"
"resident","en"
"resist","en"
"resistance","en"
"resolution","en"
"resolve","en"
"resort","en"
"resource","en"
"respect","en"
"respond","en"
"respondent","en"
"response","en"
"responsibility","en"
"responsible","en"
"rest","en"
"restaurant","en"
"restore","en"
"restriction","en"
"result","en"
"retain","en"
"retire","en"
"retirement","en"
"return","en"
"reveal","en"
"revenue","en"
"review","en"
"revolution","en"
"rhythm","en"
"rice","en"
"rich","en"
"ride","en"
"rifle","en"
"right","en"
"ring","en"
"rise","en"
"risk","en"
"river","en"
"road","en"
"rock","en"
"role","en"
"roll","en"
"romantic","en"
"roof","en"
"room","en"
"root","en"
"rope","en"
"rose","en"
"rough","en"
"roughly","en"
"round","en"
"route","en"
"routine","en"
"rule","en"
"running","en"
"rural","en"
"rush","en"
"Russian","en"
"sacred","en"
"safe","en"
"safety","en"
"sake","en"
"salad","en"
"salary","en"
"sale","en"
"sales","en"
"salt","en"
"same","en"
"sample","en"
"sanction","en"
"sand","en"
"satellite","en"
"satisfaction","en"
"satisfy","en"
"sauce","en"
"save","en"
"saving","en"
"scale","en"
"scandal","en"
"scared","en"
"scenario","en"
"scene","en"
"schedule","en"
"scheme","en"
"scholar","en"
"scholarship","en"
"school","en"
"science","en"
"scientific","en"
"scientist","en"
"scope","en"
"score","en"
"scream","en"
"screen","en"
"script","en"
"search","en"
"season","en"
"seat","en"
"second","en"
"secret","en"
"secretary","en"
"section","en"
"sector","en"
"secure","en"
"security","en"
"seed","en"
"seek","en"
"seem","en"
"segment","en"
"seize","en"
"select","en"
"selection","en"
"self","en"
"sell","en"
"Senate","en"
"senator","en"
"send","en"
"senior","en"
"sense","en"
"sensitive","en"
"sentence","en"
"separate","en"
"sequence","en"
"series","en"
"serious","en"
"seriously","en"
"serve","en"
"service","en"
"session","en"
"setting","en"
"settle","en"
"settlement","en"
"seven","en"
"several","en"
"severe","en"
"sexual","en"
"shade","en"
"shadow","en"
"shake","en"
"shall","en"
"shape","en"
"share","en"
"sharp","en"
"sheet","en"
"shelf","en"
"shell","en"
"shelter","en"
"shift","en"
"shine","en"
"ship","en"
"shirt","en"
"shit","en"
"shock","en"
"shoe","en"
"shoot","en"
"shooting","en"
"shop","en"
"shopping","en"
"shore","en"
"short","en"
"shortly","en"
"shot","en"
"should","en"
"shoulder","en"
"shout","en"
"show","en"
"shower","en"
"shrug","en"
"shut","en"
"sick","en"
"side","en"
"sigh","en"
"sight","en"
"sign","en"
"signal","en"
"significance","en"
"significant","en"
"significantly","en"
"silence","en"
"silent","en"
"silver","en"
"similar","en"
"similarly","en"
"simple","en"
"simply","en"
"since","en"
"sing","en"
"singer","en"
"single","en"
"sink","en"
"sister","en"
"site","en"
"situation","en"
"size","en"
"skill","en"
"skin","en"
"slave","en"
"sleep","en"
"slice","en"
"slide","en"
"slight","en"
"slightly","en"
"slip","en"
"slow","en"
"slowly","en"
"small","en"
"smart","en"
"smell","en"
"smile","en"
"smoke","en"
"smooth","en"
"snap","en"
"snow","en"
"so-called","en"
"soccer","en"
"social","en"
"society","en"
"soft","en"
"software","en"
"soil","en"
"solar","en"
"soldier","en"
"solid","en"
"solution","en"
"solve","en"
"some","en"
"somebody","en"
"somehow","en"
"someone","en"
"something","en"
"sometimes","en"
"somewhat","en"
"somewhere","en"
"song","en"
"soon","en"
"sophisticated","en"
"sorry","en"
"sort","en"
"soul","en"
"sound","en"
"soup","en"
"source","en"
"south","en"
"southern","en"
"Soviet","en"
"space","en"
"Spanish","en"
"speak","en"
"speaker","en"
"special","en"
"specialist","en"
"species","en"
"specific","en"
"specifically","en"
"speech","en"
"speed","en"
"spend","en"
"spending","en"
"spin","en"
"spirit","en"
"spiritual","en"
"split","en"
"spokesman","en"
"sport","en"
"spot","en"
"spread","en"
"spring","en"
"square","en"
"squeeze","en"
"stability","en"
"stable","en"
"staff","en"
"stage","en"
"stair","en"
"stake","en"
"stand","en"
"standard","en"
"standing","en"
"star","en"
"stare","en"
"start","en"
"state","en"
"statement","en"
"station","en"
"statistics","en"
"status","en"
"stay","en"
"steady","en"
"steal","en"
"steel","en"
"step","en"
"stick","en"
"still","en"
"stir","en"
"stock","en"
"stomach","en"
"stone","en"
"stop","en"
"storage","en"
"store","en"
"storm","en"
"story","en"
"straight","en"
"strange","en"
"stranger","en"
"strategic","en"
"strategy","en"
"stream","en"
"street","en"
"strength","en"
"strengthen","en"
"stress","en"
"stretch","en"
"strike","en"
"string","en"
"strip","en"
"stroke","en"
"strong","en"
"strongly","en"
"structure","en"
"struggle","en"
"student","en"
"studio","en"
"study","en"
"stuff","en"
"stupid","en"
"style","en"
"subject","en"
"submit","en"
"subsequent","en"
"substance","en"
"substantial","en"
"succeed","en"
"success","en"
"successful","en"
"successfully","en"
"such","en"
"sudden","en"
"suddenly","en"
"suffer","en"
"sufficient","en"
"sugar","en"
"suggest","en"
"suggestion","en"
"suicide","en"
"suit","en"
"summer","en"
"summit","en"
"super","en"
"supply","en"
"support","en"
"supporter","en"
"suppose","en"
"supposed","en"
"Supreme","en"
"sure","en"
"surely","en"
"surface","en"
"surgery","en"
"surprise","en"
"surprised","en"
"surprising","en"
"surprisingly","en"
"surround","en"
"survey","en"
"survival","en"
"survive","en"
"survivor","en"
"suspect","en"
"sustain","en"
"swear","en"
"sweep","en"
"sweet","en"
"swim","en"
"swing","en"
"switch","en"
"symbol","en"
"symptom","en"
"system","en"
"table","en"
"tablespoon","en"
"tactic","en"
"tail","en"
"take","en"
"tale","en"
"talent","en"
"talk","en"
"tall","en"
"tank","en"
"tape","en"
"target","en"
"task","en"
"taste","en"
"taxpayer","en"
"teach","en"
"teacher","en"
"teaching","en"
"team","en"
"tear","en"
"teaspoon","en"
"technical","en"
"technique","en"
"technology","en"
"teen","en"
"teenager","en"
"telephone","en"
"telescope","en"
"television","en"
"tell","en"
"temperature","en"
"temporary","en"
"tend","en"
"tendency","en"
"tennis","en"
"tension","en"
"tent","en"
"term","en"
"terms","en"
"terrible","en"
"territory","en"
"terror","en"
"terrorism","en"
"terrorist","en"
"test","en"
"testify","en"
"testimony","en"
"testing","en"
"text","en"
"than","en"
"thank","en"
"thanks","en"
"that","en"
"theater","en"
"their","en"
"them","en"
"theme","en"
"themselves","en"
"then","en"
"theory","en"
"therapy","en"
"there","en"
"therefore","en"
"these","en"
"they","en"
"thick","en"
"thin","en"
"thing","en"
"think","en"
"thinking","en"
"third","en"
"thirty","en"
"this","en"
"those","en"
"though","en"
"thought","en"
"thousand","en"
"threat","en"
"threaten","en"
"three","en"
"throat","en"
"through","en"
"throughout","en"
"throw","en"
"thus","en"
"ticket","en"
"tight","en"
"time","en"
"tiny","en"
"tire","en"
"tired","en"
"tissue","en"
"title","en"
"tobacco","en"
"today","en"
"together","en"
"tomato","en"
"tomorrow","en"
"tone","en"
"tongue","en"
"tonight","en"
"tool","en"
"tooth","en"
"topic","en"
"toss","en"
"total","en"
"totally","en"
"touch","en"
"tough","en"
"tour","en"
"tourist","en"
"tournament","en"
"toward","en"
"towards","en"
"tower","en"
"town","en"
"trace","en"
"track","en"
"trade","en"
"tradition","en"
"traditional","en"
"traffic","en"
"tragedy","en"
"trail","en"
"train","en"
"training","en"
"transfer","en"
"transform","en"
"transformation","en"
"transition","en"
"translate","en"
"transportation","en"
"travel","en"
"treat","en"
"treatment","en"
"treaty","en"
"tree","en"
"tremendous","en"
"trend","en"
"trial","en"
"tribe","en"
"trick","en"
"trip","en"
"troop","en"
"trouble","en"
"truck","en"
"true","en"
"truly","en"
"trust","en"
"truth","en"
"tube","en"
"tunnel","en"
"turn","en"
"twelve","en"
"twenty","en"
"twice","en"
"twin","en"
"type","en"
"typical","en"
"typically","en"
"ugly","en"
"ultimate","en"
"ultimately","en"
"unable","en"
"uncle","en"
"under","en"
"undergo","en"
"understand","en"
"understanding","en"
"unfortunately","en"
"uniform","en"
"union","en"
"unique","en"
"unit","en"
"United","en"
"universal","en"
"universe","en"
"university","en"
"unknown","en"
"unless","en"
"unlike","en"
"unlikely","en"
"until","en"
"unusual","en"
"upon","en"
"upper","en"
"urban","en"
"urge","en"
"used","en"
"useful","en"
"user","en"
"usual","en"
"usually","en"
"utility","en"
"vacation","en"
"valley","en"
"valuable","en"
"value","en"
"variable","en"
"variation","en"
"variety","en"
"various","en"
"vary","en"
"vast","en"
"vegetable","en"
"vehicle","en"
"venture","en"
"version","en"
"versus","en"
"very","en"
"vessel","en"
"veteran","en"
"victim","en"
"victory","en"
"video","en"
"view","en"
"viewer","en"
"village","en"
"violate","en"
"violation","en"
"violence","en"
"violent","en"
"virtually","en"
"virtue","en"
"virus","en"
"visible","en"
"vision","en"
"visit","en"
"visitor","en"
"visual","en"
"vital","en"
"voice","en"
"volume","en"
"volunteer","en"
"vote","en"
"voter","en"
"vulnerable","en"
"wage","en"
"wait","en"
"wake","en"
"walk","en"
"wall","en"
"wander","en"
"want","en"
"warm","en"
"warn","en"
"warning","en"
"wash","en"
"waste","en"
"watch","en"
"water","en"
"wave","en"
"weak","en"
"wealth","en"
"wealthy","en"
"weapon","en"
"wear","en"
"weather","en"
"wedding","en"
"week","en"
"weekend","en"
"weekly","en"
"weigh","en"
"weight","en"
"welcome","en"
"welfare","en"
"well","en"
"west","en"
"western","en"
"what","en"
"whatever","en"
"wheel","en"
"when","en"
"whenever","en"
"where","en"
"whereas","en"
"whether","en"
"which","en"
"while","en"
"whisper","en"
"white","en"
"whole","en"
"whom","en"
"whose","en"
"wide","en"
"widely","en"
"widespread","en"
"wife","en"
"wild","en"
"will","en"
"willing","en"
"wind","en"
"window","en"
"wine","en"
"wing","en"
"winner","en"
"winter","en"
"wipe","en"
"wire","en"
"wisdom","en"
"wise","en"
"wish","en"
"with","en"
"withdraw","en"
"within","en"
"without","en"
"witness","en"
"woman","en"
"wonder","en"
"wonderful","en"
"wood","en"
"wooden","en"
"word","en"
"work","en"
"worker","en"
"working","en"
"works","en"
"workshop","en"
"world","en"
"worried","en"
"worry","en"
"worth","en"
"would","en"
"wound","en"
"wrap","en"
"write","en"
"writer","en"
"writing","en"
"wrong","en"
"yard","en"
"yeah","en"
"year","en"
"yell","en"
"yellow","en"
"yesterday","en"
"yield","en"
"young","en"
"your","en"
"yours","en"
"yourself","en"
"youth","en"
"zone","en"
